"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2020;"97680";"2010023";"10";"l";"Non";"Non"
2020;"97680";"2010513";"5";"kg";"Non";"Non"
2020;"97680";"2080101";"3";"kg";"Non";"Non"
2020;"97680";"2090127";"50";"l";"Non";"Non"
2020;"97680";"2130075";"400";"kg";"Non";"Non"
2020;"97680";"2140090";"2";"l";"Non";"Non"
2020;"97680";"8800841";"1.5";"l";"Non";"Non"
2020;"97680";"9200159";"3";"l";"Non";"Non"
2020;"97680";"9700027";"1";"kg";"Non";"Non"
2020;"97680";"9700332";"3";"l";"Non";"Non"
2020;"97680";"9800219";"45";"l";"Non";"Non"
2020;"97680";"9800336";"5";"l";"Non";"Non"
