"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2020;"01000";"2000003";"5";"l";"Non";"Non"
2020;"01000";"2000125";"58.87";"kg";"Oui";"Non"
2020;"01000";"2000201";"50";"l";"Non";"Non"
2020;"01000";"2000299";"2";"l";"Non";"Non"
2020;"01000";"2000316";"2";"l";"Non";"Non"
2020;"01000";"2000510";"40";"kg";"Oui";"Non"
2020;"01000";"2010427";"1";"l";"Non";"Non"
2020;"01000";"2020241";"0.5";"kg";"Non";"Non"
2020;"01000";"2030071";"45";"kg";"Non";"Non"
2020;"01000";"2030323";"20";"l";"Non";"Non"
2020;"01000";"2040146";"11.02";"l";"Non";"Non"
2020;"01000";"2040330";"20";"kg";"Non";"Non"
2020;"01000";"2050075";"5";"kg";"Non";"Non"
2020;"01000";"2060050";"0.5";"l";"Non";"Non"
2020;"01000";"2060084";"11";"kg";"Non";"Non"
2020;"01000";"2060088";"110";"l";"Non";"Non"
2020;"01000";"2060131";"10";"l";"Oui";"Non"
2020;"01000";"2060194";"192";"kg";"Non";"Non"
2020;"01000";"2070107";"5";"l";"Non";"Non"
2020;"01000";"2080094";"9";"kg";"Non";"Non"
2020;"01000";"2080105";"5";"l";"Non";"Non"
2020;"01000";"2080124";"0.96";"kg";"Non";"Non"
2020;"01000";"2080145";"15";"l";"Non";"Non"
2020;"01000";"2090037";"4";"kg";"Non";"Non"
2020;"01000";"2090041";"2";"kg";"Non";"Non"
2020;"01000";"2090050";"1020";"kg";"Non";"Non"
2020;"01000";"2090064";"10";"l";"Non";"Non"
2020;"01000";"2090080";"180";"l";"Non";"Non"
2020;"01000";"2090093";"100";"l";"Non";"Non"
2020;"01000";"2090094";"5";"kg";"Non";"Non"
2020;"01000";"2090101";"70";"l";"Non";"Non"
2020;"01000";"2090111";"55.44";"l";"Non";"Non"
2020;"01000";"2090118";"40";"l";"Non";"Non"
2020;"01000";"2090146";"135.85";"l";"Oui";"Non"
2020;"01000";"2090153";"6.8";"kg";"Non";"Non"
2020;"01000";"2090159";"2";"kg";"Non";"Non"
2020;"01000";"2090160";"20";"l";"Non";"Non"
2020;"01000";"2090199";"9.25";"l";"Oui";"Non"
2020;"01000";"2090200";"15.75";"l";"Oui";"Non"
2020;"01000";"2100009";"0.36";"kg";"Non";"Non"
2020;"01000";"2100015";"0.09";"kg";"Non";"Non"
2020;"01000";"2100028";"20";"l";"Non";"Non"
2020;"01000";"2100030";"100";"kg";"Non";"Non"
2020;"01000";"2100051";"850";"l";"Non";"Non"
2020;"01000";"2100056";"5";"l";"Non";"Non"
