"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2018;"97200";"2000044";"18";"l";"Non";"Non"
2018;"97200";"2000202";"625";"l";"Non";"Non"
2018;"97200";"2000519";"125";"l";"Non";"Non"
2018;"97200";"2010132";"1.25";"kg";"Non";"Non"
2018;"97200";"2010513";"10.5";"kg";"Non";"Non"
2018;"97200";"2010618";"0.72";"kg";"Non";"Non"
2018;"97200";"2050046";"0.5";"kg";"Non";"Non"
2018;"97200";"2060084";"1";"kg";"Non";"Non"
2018;"97200";"2080101";"7";"kg";"Non";"Non"
2018;"97200";"2090094";"25";"kg";"Non";"Non"
2018;"97200";"2090127";"3";"l";"Non";"Non"
2018;"97200";"2100231";"11";"kg";"Non";"Non"
2018;"97200";"2110012";"17";"l";"Non";"Non"
2018;"97200";"2110198";"250";"l";"Non";"Non"
2018;"97200";"2120008";"56";"l";"Oui";"Non"
2018;"97200";"2130075";"95";"kg";"Non";"Non"
2018;"97200";"2130088";"32";"kg";"Oui";"Non"
2018;"97200";"2140085";"7";"l";"Non";"Non"
2018;"97200";"2150969";"2.25";"kg";"Oui";"Non"
2018;"97200";"2160487";"20";"l";"Oui";"Non"
2018;"97200";"6300001";"22";"kg";"Non";"Non"
2018;"97200";"8500174";"8.75";"l";"Non";"Non"
2018;"97200";"8800395";"30";"l";"Non";"Non"
2018;"97200";"8900681";"10";"l";"Non";"Non"
2018;"97200";"9300504";"10";"l";"Non";"Non"
2018;"97200";"9600199";"60";"kg";"Non";"Non"
2018;"97200";"9700332";"18";"l";"Oui";"Non"
2018;"97200";"9800144";"0.25";"kg";"Non";"Non"
2018;"97200";"9800182";"5";"l";"Non";"Non"
2018;"97200";"9800336";"20.75";"l";"Non";"Non"
2018;"97200";"9900242";"82";"kg";"Non";"Non"
2018;"97200";"9900257";"4.8";"kg";"Oui";"Non"
2018;"97211";"2000044";"8";"l";"Non";"Non"
2018;"97211";"2000202";"145";"l";"Non";"Non"
2018;"97211";"2000519";"270";"l";"Non";"Non"
2018;"97211";"2010132";"0.25";"kg";"Non";"Non"
2018;"97211";"2010513";"0.5";"kg";"Non";"Non"
2018;"97211";"2060088";"15";"l";"Non";"Non"
2018;"97211";"2080060";"3";"l";"Non";"Non"
2018;"97211";"2100231";"1";"kg";"Non";"Non"
2018;"97211";"2110198";"140";"l";"Non";"Non"
2018;"97211";"2120008";"52";"l";"Oui";"Non"
2018;"97211";"2130075";"5";"kg";"Non";"Non"
2018;"97211";"2140085";"11";"l";"Non";"Non"
2018;"97211";"7700078";"20";"l";"Non";"Non"
2018;"97211";"8400574";"5";"l";"Non";"Non"
2018;"97211";"8500174";"4";"l";"Non";"Non"
2018;"97211";"9900047";"25";"l";"Non";"Non"
2018;"97211";"9900242";"2";"kg";"Non";"Non"
2018;"97212";"2000044";"1";"l";"Non";"Non"
2018;"97212";"2000202";"100";"l";"Non";"Non"
2018;"97212";"2000519";"5";"l";"Non";"Non"
2018;"97212";"2090146";"1";"l";"Oui";"Non"
2018;"97212";"2100231";"1";"kg";"Non";"Non"
2018;"97212";"2110198";"135";"l";"Non";"Non"
2018;"97212";"2120008";"6";"l";"Oui";"Non"
2018;"97212";"2130075";"20";"kg";"Non";"Non"
2018;"97212";"2140085";"1";"l";"Non";"Non"
2018;"97212";"2140255";"3";"l";"Non";"Non"
2018;"97212";"6300001";"1";"kg";"Non";"Non"
2018;"97212";"8500174";"0.25";"l";"Non";"Non"
2018;"97212";"9300504";"6";"l";"Non";"Non"
2018;"97212";"9800336";"0.5";"l";"Non";"Non"
2018;"97212";"9800402";"0.4";"l";"Oui";"Non"
2018;"97212";"9900242";"1";"kg";"Non";"Non"
2018;"97212";"9900257";"0.8";"kg";"Oui";"Non"
2018;"97213";"2000044";"34";"l";"Non";"Non"
2018;"97213";"2000202";"975";"l";"Non";"Non"
2018;"97213";"2000519";"125";"l";"Non";"Non"
2018;"97213";"2060088";"185";"l";"Non";"Non"
2018;"97213";"2080101";"1";"kg";"Non";"Non"
2018;"97213";"2090127";"2";"l";"Non";"Non"
2018;"97213";"2100231";"2";"kg";"Non";"Non"
2018;"97213";"2110012";"5";"l";"Non";"Non"
2018;"97213";"2110198";"320";"l";"Non";"Non"
2018;"97213";"2120008";"348";"l";"Oui";"Non"
2018;"97213";"2120133";"0.13";"l";"Oui";"Non"
2018;"97213";"2130075";"5";"kg";"Non";"Non"
2018;"97213";"2130088";"6.3";"kg";"Oui";"Non"
2018;"97213";"2140085";"1";"l";"Non";"Non"
2018;"97213";"2140121";"1.3";"l";"Oui";"Non"
2018;"97213";"6300001";"2";"kg";"Non";"Non"
2018;"97213";"7700078";"130";"l";"Non";"Non"
2018;"97213";"8500174";"2.25";"l";"Non";"Non"
2018;"97213";"8900681";"90";"l";"Non";"Non"
2018;"97213";"9600199";"1260";"kg";"Non";"Non"
2018;"97213";"9800182";"35";"l";"Non";"Non"
2018;"97213";"9800236";"15";"l";"Non";"Non"
2018;"97213";"9800336";"4.25";"l";"Non";"Non"
2018;"97213";"9900047";"25";"l";"Non";"Non"
2018;"97213";"9900242";"1";"kg";"Non";"Non"
2018;"97213";"9900257";"0.8";"kg";"Oui";"Non"
2018;"97213";"9900331";"1";"l";"Non";"Non"
2018;"97214";"2000044";"5";"l";"Non";"Non"
2018;"97214";"2000202";"165";"l";"Non";"Non"
2018;"97214";"2000519";"30";"l";"Non";"Non"
2018;"97214";"2010132";"3.25";"kg";"Non";"Non"
2018;"97214";"2010513";"15.5";"kg";"Non";"Non"
2018;"97214";"2080101";"5";"kg";"Non";"Non"
2018;"97214";"2090127";"60";"l";"Non";"Non"
2018;"97214";"2100231";"4";"kg";"Non";"Non"
2018;"97214";"2110012";"17";"l";"Non";"Non"
2018;"97214";"2110198";"225";"l";"Non";"Non"
