"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"20000";"2010023";"65";"l";"Non";"Non"
2019;"20000";"2020003";"5";"kg";"Oui";"Non"
2019;"20000";"2020241";"0.5";"kg";"Non";"Non"
2019;"20000";"2050046";"2";"kg";"Non";"Non"
2019;"20000";"2060130";"4";"l";"Non";"Non"
2019;"20000";"2080038";"15";"l";"Non";"Non"
2019;"20000";"2080105";"18.5";"l";"Non";"Non"
2019;"20000";"2090127";"5";"l";"Non";"Non"
2019;"20000";"2110086";"40";"l";"Non";"Non"
2019;"20000";"2120034";"120";"l";"Non";"Non"
2019;"20000";"2120086";"60";"l";"Non";"Non"
2019;"20000";"2130115";"7";"kg";"Non";"Non"
2019;"20000";"2140085";"15";"l";"Non";"Non"
2019;"20000";"2150083";"5";"l";"Non";"Non"
2019;"20000";"9000490";"15";"l";"Non";"Non"
2019;"20000";"9100296";"140";"l";"Non";"Non"
2019;"20000";"9300504";"80";"l";"Non";"Non"
2019;"20000";"9400162";"240";"l";"Non";"Non"
2019;"20000";"9500595";"2";"l";"Non";"Non"
2019;"20000";"9600025";"54";"kg";"Non";"Non"
2019;"20000";"9600550";"5";"l";"Non";"Non"
2019;"20000";"9800336";"6";"l";"Non";"Non"
2019;"20000";"9800474";"15";"kg";"Non";"Non"
2019;"20000";"9900227";"20";"l";"Non";"Non"
2019;"20000";"9900262";"0.6";"kg";"Non";"Non"
2019;"20090";"2000087";"12";"kg";"Non";"Non"
2019;"20090";"2010023";"10";"l";"Non";"Non"
2019;"20090";"2020241";"2";"kg";"Non";"Non"
2019;"20090";"2030332";"1";"l";"Oui";"Non"
2019;"20090";"2060085";"1";"l";"Non";"Non"
2019;"20090";"2060098";"2";"l";"Non";"Non"
2019;"20090";"2060132";"1";"l";"Non";"Non"
2019;"20090";"2090116";"20";"l";"Non";"Non"
2019;"20090";"2090127";"5";"l";"Non";"Non"
2019;"20090";"2090164";"30";"l";"Oui";"Non"
2019;"20090";"2100122";"0.3";"kg";"Non";"Non"
2019;"20090";"2110141";"5";"l";"Non";"Non"
2019;"20090";"2110143";"1";"l";"Non";"Non"
2019;"20090";"2120171";"8";"kg";"Non";"Non"
2019;"20090";"2130212";"5";"kg";"Non";"Non"
2019;"20090";"2140085";"1";"l";"Non";"Non"
2019;"20090";"2160985";"20";"l";"Non";"Non"
2019;"20090";"5100219";"725";"kg";"Non";"Non"
2019;"20090";"7700216";"210";"l";"Non";"Non"
2019;"20090";"8400574";"12";"l";"Non";"Non"
