"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"14000";"1030003";"48.80";"l";"Oui";"Non"
2019;"14000";"2000003";"15";"l";"Non";"Non"
2019;"14000";"2000017";"0.02";"l";"Oui";"Non"
2019;"14000";"2000018";"220";"kg";"Non";"Non"
2019;"14000";"2000044";"25";"l";"Non";"Non"
2019;"14000";"2000122";"5.43";"l";"Non";"Non"
2019;"14000";"2000125";"3323.1";"kg";"Oui";"Non"
2019;"14000";"2000201";"3.38";"l";"Non";"Non"
2019;"14000";"2000299";"1.12";"l";"Non";"Non"
2019;"14000";"2000316";"13";"l";"Non";"Non"
2019;"14000";"2000380";"15";"l";"Non";"Non"
2019;"14000";"2010023";"9";"l";"Non";"Non"
2019;"14000";"2010025";"5";"l";"Non";"Non"
2019;"14000";"2010030";"25.95";"l";"Non";"Non"
2019;"14000";"2010035";"0.75";"l";"Oui";"Non"
2019;"14000";"2010112";"6";"kg";"Non";"Non"
2019;"14000";"2010130";"10";"kg";"Non";"Non"
2019;"14000";"2010280";"87.88";"l";"Non";"Non"
2019;"14000";"2010410";"222.75";"kg";"Oui";"Non"
2019;"14000";"2010429";"0.24";"l";"Oui";"Non"
2019;"14000";"2010509";"8.66";"kg";"Non";"Non"
2019;"14000";"2010513";"5";"kg";"Non";"Non"
2019;"14000";"2010618";"75";"kg";"Non";"Non"
2019;"14000";"2010640";"5";"kg";"Non";"Non"
2019;"14000";"2020003";"2394.1";"kg";"Oui";"Non"
2019;"14000";"2020062";"10";"l";"Non";"Non"
2019;"14000";"2020226";"30.66";"l";"Non";"Non"
2019;"14000";"2030289";"2";"l";"Oui";"Non"
2019;"14000";"2030323";"38.63";"l";"Non";"Non"
2019;"14000";"2030342";"40";"l";"Non";"Non"
2019;"14000";"2030404";"10";"l";"Non";"Non"
2019;"14000";"2030466";"244";"kg";"Oui";"Non"
2019;"14000";"2040146";"0.64";"l";"Non";"Non"
2019;"14000";"2050037";"41350";"kg";"Oui";"Non"
2019;"14000";"2050046";"6.5";"kg";"Non";"Non"
2019;"14000";"2050145";"0.34";"l";"Oui";"Non"
2019;"14000";"2060002";"1";"l";"Non";"Non"
2019;"14000";"2060051";"14.61";"l";"Non";"Non"
2019;"14000";"2060088";"55";"l";"Non";"Non"
2019;"14000";"2060098";"5.0";"l";"Non";"Non"
2019;"14000";"2060115";"24.47";"l";"Non";"Non"
2019;"14000";"2060118";"5";"l";"Non";"Non"
2019;"14000";"2060127";"0.03";"l";"Non";"Non"
2019;"14000";"2060131";"296";"l";"Oui";"Non"
2019;"14000";"2060175";"75";"kg";"Oui";"Non"
2019;"14000";"2060194";"12";"kg";"Non";"Non"
2019;"14000";"2070133";"5";"l";"Non";"Non"
2019;"14000";"2080026";"7";"l";"Non";"Non"
2019;"14000";"2080102";"10";"l";"Non";"Non"
2019;"14000";"2080105";"105";"l";"Non";"Non"
2019;"14000";"2080112";"5.56";"l";"Non";"Non"
2019;"14000";"2080117";"0.10";"kg";"Non";"Non"
2019;"14000";"2080123";"0.2";"kg";"Non";"Non"
2019;"14000";"2080136";"1";"kg";"Non";"Non"
2019;"14000";"2080145";"10";"l";"Non";"Non"
2019;"14000";"2090008";"2.25";"l";"Non";"Non"
2019;"14000";"2090016";"11.33";"l";"Non";"Non"
2019;"14000";"2090033";"1.8";"l";"Oui";"Non"
2019;"14000";"2090036";"10";"l";"Oui";"Non"
2019;"14000";"2090050";"300";"kg";"Non";"Non"
2019;"14000";"2090054";"0.25";"kg";"Non";"Non"
2019;"14000";"2090057";"0.75";"kg";"Non";"Non"
2019;"14000";"2090070";"15";"kg";"Non";"Non"
2019;"14000";"2090071";"15";"l";"Non";"Non"
2019;"14000";"2090080";"12.9";"l";"Non";"Non"
2019;"14000";"2090094";"10";"kg";"Non";"Non"
2019;"14000";"2090101";"25";"l";"Non";"Non"
2019;"14000";"2090111";"11.91";"l";"Non";"Non"
2019;"14000";"2090113";"120";"l";"Non";"Non"
2019;"14000";"2090114";"0.5";"kg";"Non";"Non"
2019;"14000";"2090124";"9.75";"l";"Oui";"Non"
2019;"14000";"2090146";"434.5";"l";"Oui";"Non"
2019;"14000";"2090153";"8";"kg";"Non";"Non"
2019;"14000";"2090157";"11.5";"l";"Non";"Non"
2019;"14000";"2090160";"940";"l";"Non";"Non"
2019;"14000";"2090186";"130";"l";"Non";"Non"
2019;"14000";"2090199";"18.51";"l";"Oui";"Non"
