"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2019;"00000";"1030003";"6418.36";"l";"Oui";"Non"
2019;"00000";"2000003";"118";"l";"Non";"Non"
2019;"00000";"2000017";"1.27";"l";"Oui";"Non"
2019;"00000";"2000018";"69190.9503";"kg";"Non";"Non"
2019;"00000";"2000044";"4982";"l";"Non";"Non"
2019;"00000";"2000045";"2";"l";"Non";"Non"
2019;"00000";"2000046";"490";"l";"Non";"Non"
2019;"00000";"2000087";"6979.04";"kg";"Non";"Non"
2019;"00000";"2000097";"1356";"kg";"Non";"Non"
2019;"00000";"2000099";"60";"kg";"Non";"Non"
2019;"00000";"2000122";"3503.95";"l";"Non";"Non"
2019;"00000";"2000125";"18614.4699";"kg";"Oui";"Non"
2019;"00000";"2000169";"0.1";"kg";"Non";"Non"
2019;"00000";"2000191";"2287.2101";"l";"Non";"Non"
2019;"00000";"2000201";"12311.8201";"l";"Non";"Non"
2019;"00000";"2000202";"225";"l";"Non";"Non"
2019;"00000";"2000205";"8.5";"kg";"Non";"Non"
2019;"00000";"2000207";"50";"l";"Non";"Non"
2019;"00000";"2000208";"23";"l";"Non";"Non"
2019;"00000";"2000210";"1940";"l";"Non";"Non"
2019;"00000";"2000236";"12";"l";"Non";"Non"
2019;"00000";"2000294";"354.73";"kg";"Non";"Non"
2019;"00000";"2000299";"1469.75";"l";"Non";"Non"
2019;"00000";"2000316";"432";"l";"Non";"Non"
2019;"00000";"2000324";"1408";"l";"Non";"Non"
2019;"00000";"2000327";"7212.33";"l";"Non";"Non"
2019;"00000";"2000333";"2740";"l";"Non";"Non"
2019;"00000";"2000338";"6350";"kg";"Non";"Non"
2019;"00000";"2000364";"4.48";"kg";"Oui";"Non"
2019;"00000";"2000369";"81.1";"kg";"Non";"Non"
2019;"00000";"2000380";"1865";"l";"Non";"Non"
2019;"00000";"2000391";"25";"l";"Non";"Non"
2019;"00000";"2000461";"75";"l";"Non";"Non"
2019;"00000";"2000502";"0.5";"l";"Non";"Non"
2019;"00000";"2000510";"40878.66";"kg";"Oui";"Non"
2019;"00000";"2000517";"11167.56";"l";"Non";"Non"
2019;"00000";"2000519";"17330";"l";"Non";"Non"
2019;"00000";"2000536";"27.34";"kg";"Non";"Non"
2019;"00000";"2010023";"1598.28";"l";"Non";"Non"
2019;"00000";"2010025";"165";"l";"Non";"Non"
2019;"00000";"2010027";"0.5";"l";"Non";"Non"
2019;"00000";"2010030";"1834.25";"l";"Non";"Non"
2019;"00000";"2010035";"203.55";"l";"Oui";"Non"
2019;"00000";"2010047";"46";"l";"Non";"Non"
2019;"00000";"2010099";"903.75";"l";"Oui";"Non"
2019;"00000";"2010100";"630.75";"l";"Oui";"Non"
2019;"00000";"2010101";"459.00";"l";"Oui";"Non"
2019;"00000";"2010118";"4239.45";"kg";"Non";"Non"
2019;"00000";"2010123";"2600";"kg";"Oui";"Non"
2019;"00000";"2010130";"5148.33";"kg";"Non";"Non"
2019;"00000";"2010132";"641";"kg";"Non";"Non"
2019;"00000";"2010239";"2900";"l";"Non";"Non"
2019;"00000";"2010261";"20";"kg";"Non";"Non"
2019;"00000";"2010280";"2827.98";"l";"Non";"Non"
2019;"00000";"2010282";"2095";"l";"Non";"Oui"
2019;"00000";"2010288";"0.25";"kg";"Non";"Non"
2019;"00000";"2010321";"1.2";"l";"Oui";"Non"
2019;"00000";"2010324";"145.5";"kg";"Oui";"Non"
2019;"00000";"2010326";"12";"l";"Non";"Non"
2019;"00000";"2010349";"8460";"l";"Non";"Non"
2019;"00000";"2010398";"1473.21";"kg";"Non";"Non"
2019;"00000";"2010410";"1728.89";"kg";"Oui";"Non"
2019;"00000";"2010415";"919.87";"l";"Non";"Non"
2019;"00000";"2010425";"8.8";"kg";"Non";"Non"
2019;"00000";"2010427";"81";"l";"Non";"Non"
2019;"00000";"2010439";"4";"l";"Oui";"Non"
2019;"00000";"2010441";"40";"l";"Non";"Non"
2019;"00000";"2010495";"225";"kg";"Non";"Non"
2019;"00000";"2010502";"25";"l";"Non";"Non"
2019;"00000";"2010509";"3682.00";"kg";"Non";"Non"
2019;"00000";"2010512";"0.1";"l";"Oui";"Non"
2019;"00000";"2010513";"606.0";"kg";"Non";"Non"
2019;"00000";"2010530";"0.25";"l";"Oui";"Non"
2019;"00000";"2010531";"860";"l";"Non";"Non"
2019;"00000";"2010537";"2.1";"kg";"Non";"Non"
2019;"00000";"2010552";"93.6";"kg";"Non";"Non"
2019;"00000";"2010600";"816";"kg";"Non";"Non"
2019;"00000";"2010602";"8724";"kg";"Non";"Non"
2019;"00000";"2010617";"0.12";"l";"Non";"Non"
2019;"00000";"2010618";"569.14";"kg";"Non";"Non"
2019;"00000";"2010640";"20";"kg";"Non";"Non"
2019;"00000";"2020003";"10960.17";"kg";"Oui";"Non"
2019;"00000";"2020014";"15";"l";"Non";"Non"
2019;"00000";"2020021";"2120";"l";"Non";"Non"
2019;"00000";"2020047";"10";"l";"Oui";"Non"
2019;"00000";"2020048";"100";"l";"Oui";"Non"
2019;"00000";"2020062";"10";"l";"Non";"Non"
2019;"00000";"2020064";"5";"l";"Non";"Non"
2019;"00000";"2020065";"0.04";"kg";"Oui";"Non"
2019;"00000";"2020069";"7";"l";"Non";"Non"
2019;"00000";"2020099";"1302";"l";"Non";"Non"
2019;"00000";"2020110";"395.65";"kg";"Non";"Non"
2019;"00000";"2020199";"40.2";"kg";"Non";"Non"
2019;"00000";"2020219";"182";"l";"Non";"Non"
2019;"00000";"2020226";"7579";"l";"Non";"Non"
2019;"00000";"2020238";"150";"l";"Non";"Non"
2019;"00000";"2020241";"49.0";"kg";"Non";"Non"
2019;"00000";"2020264";"5";"l";"Non";"Non"
2019;"00000";"2020267";"8";"kg";"Non";"Non"
2019;"00000";"2020296";"10";"l";"Non";"Non"
2019;"00000";"2020339";"20";"l";"Non";"Non"
2019;"00000";"2020429";"45";"l";"Non";"Non"
2019;"00000";"2020456";"55";"l";"Non";"Non"
2019;"00000";"2020474";"535";"l";"Non";"Non"
2019;"00000";"2030011";"370";"l";"Non";"Non"
2019;"00000";"2030071";"8272";"kg";"Non";"Non"
2019;"00000";"2030073";"15";"kg";"Non";"Non"
2019;"00000";"2030123";"10";"l";"Non";"Non"
2019;"00000";"2030125";"134.45";"l";"Oui";"Non"
2019;"00000";"2030131";"26.2";"kg";"Non";"Non"
2019;"00000";"2030174";"26.82";"kg";"Non";"Non"
2019;"00000";"2030175";"4328.1699";"kg";"Oui";"Non"
2019;"00000";"2030184";"0.75";"kg";"Oui";"Non"
2019;"00000";"2030255";"80";"l";"Non";"Non"
2019;"00000";"2030259";"73";"l";"Non";"Non"
2019;"00000";"2030273";"0.05";"l";"Oui";"Non"
2019;"00000";"2030323";"52443.0286";"l";"Non";"Non"
2019;"00000";"2030332";"14131";"l";"Oui";"Non"
2019;"00000";"2030342";"12600";"l";"Non";"Non"
2019;"00000";"2030404";"350";"l";"Non";"Non"
2019;"00000";"2030429";"270";"kg";"Non";"Non"
2019;"00000";"2030457";"23.0";"kg";"Non";"Non"
2019;"00000";"2030460";"663";"kg";"Non";"Non"
2019;"00000";"2030466";"1207.9";"kg";"Oui";"Non"
2019;"00000";"2040019";"25";"kg";"Non";"Non"
2019;"00000";"2040080";"8.25";"kg";"Oui";"Non"
2019;"00000";"2040109";"0.5";"kg";"Non";"Non"
2019;"00000";"2040146";"17478.2300";"l";"Non";"Non"
2019;"00000";"2040192";"7.5";"l";"Non";"Non"
2019;"00000";"2040201";"300";"l";"Non";"Non"
2019;"00000";"2040314";"20";"kg";"Oui";"Non"
2019;"00000";"2040330";"2020";"kg";"Non";"Non"
2019;"00000";"2040338";"36";"l";"Non";"Non"
2019;"00000";"2040354";"6.0";"kg";"Non";"Non"
2019;"00000";"2050037";"75";"kg";"Oui";"Non"
2019;"00000";"2050046";"3646.5";"kg";"Non";"Non"
2019;"00000";"2050075";"597.5";"kg";"Non";"Non"
2019;"00000";"2050076";"182.3";"kg";"Non";"Non"
2019;"00000";"2050078";"350";"l";"Non";"Non"
2019;"00000";"2050136";"2948";"kg";"Non";"Non"
2019;"00000";"2050144";"2.25";"l";"Oui";"Non"
2019;"00000";"2050145";"0.38";"l";"Oui";"Non"
2019;"00000";"2050146";"2.3";"l";"Oui";"Non"
2019;"00000";"2060002";"139.00";"l";"Non";"Non"
2019;"00000";"2060019";"0.08";"l";"Non";"Non"
2019;"00000";"2060026";"57.4";"kg";"Non";"Non"
2019;"00000";"2060034";"4396.5";"kg";"Non";"Non"
2019;"00000";"2060036";"10";"l";"Non";"Non"
2019;"00000";"2060045";"1476.65";"kg";"Oui";"Non"
