"annee";"code_postal_acheteur";"amm";"quantite_produit";"conditionnement";"eaj";"achat_etranger"
2018;"97100";"2000044";"11";"l";"Non";"Non"
2018;"97100";"2060098";"0.5";"l";"Non";"Non"
2018;"97100";"2090090";"5";"l";"Non";"Non"
2018;"97100";"2090127";"30";"l";"Non";"Non"
2018;"97100";"2120008";"1";"l";"Oui";"Non"
2018;"97100";"2160487";"5";"l";"Oui";"Non"
2018;"97100";"9300504";"140";"l";"Non";"Non"
2018;"97100";"9800144";"0.13";"kg";"Non";"Non"
2018;"97100";"9800336";"0.25";"l";"Non";"Non"
2018;"97110";"2120008";"2";"l";"Oui";"Non"
2018;"97110";"2130088";"0.9";"kg";"Oui";"Non"
2018;"97111";"2000044";"10";"l";"Non";"Non"
2018;"97111";"2000202";"15";"l";"Non";"Non"
2018;"97111";"2000316";"3";"l";"Non";"Non"
2018;"97111";"2010513";"1";"kg";"Non";"Non"
2018;"97111";"2100231";"1";"kg";"Non";"Non"
2018;"97111";"2120008";"4";"l";"Oui";"Non"
2018;"97111";"2130088";"0.9";"kg";"Oui";"Non"
2018;"97111";"2140147";"5";"l";"Non";"Non"
2018;"97111";"2140183";"1";"l";"Non";"Non"
2018;"97111";"8500174";"2";"l";"Non";"Non"
2018;"97111";"9800144";"0.25";"kg";"Non";"Non"
2018;"97111";"9900037";"0.25";"kg";"Non";"Non"
2018;"97111";"9900242";"10";"kg";"Non";"Non"
2018;"97111";"9900331";"1";"l";"Non";"Non"
2018;"97112";"2000519";"5";"l";"Non";"Non"
2018;"97112";"2080101";"1";"kg";"Non";"Non"
2018;"97112";"2110198";"40";"l";"Non";"Non"
2018;"97112";"8400096";"1";"l";"Non";"Non"
2018;"97112";"9300504";"6";"l";"Non";"Non"
2018;"97112";"9700332";"11";"l";"Oui";"Non"
2018;"97112";"9900242";"1";"kg";"Non";"Non"
2018;"97113";"2000202";"80";"l";"Non";"Non"
2018;"97113";"2000519";"15";"l";"Non";"Non"
2018;"97113";"2010513";"1";"kg";"Non";"Non"
2018;"97113";"2060098";"0.5";"l";"Non";"Non"
2018;"97113";"2080101";"2";"kg";"Non";"Non"
2018;"97113";"2090127";"1";"l";"Non";"Non"
2018;"97113";"2100122";"0.3";"kg";"Non";"Non"
2018;"97113";"2100231";"2";"kg";"Non";"Non"
